ID;Store_ID;Name;TELL;web;اوقات _العمل;MAPLink;Latitude;longtitude;Latitudeandlength
321;537;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/hWJcDWGtiiCBqkVF8;21.444029;39.859671;21.444029, 39.859671
130;538;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/kozvYwmxWHPHsh4G7;26.363151;43.956709;26.363151, 43.956709
97;539;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/wKpm9k6JQ2rL6WZE6;24.150460;47.314707;24.150460, 47.314707
213;540;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/LcwmpgJaSPQGxS6d6;21.752086;39.186832;21.752086, 39.186832
131;541;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/zzYqePffJsVTeBq38;26.150586;43.663294;26.150586, 43.663294
214;542;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/D7EJGvjWEzY7Pn6C6;21.701321;39.116116;21.701321, 39.116116
325;544;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/4ZdCS5hXFnEA8dAG9;26.072752;44.010100;26.072752, 44.010100
132;545;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/LiqhpUSTUu2XEK4m8;26.386377;43.962769;26.386377, 43.962769
72;546;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/No4jshCAGXZk6pEx9;24.694089;46.605474;24.694089, 46.605474
60;547;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/kq7qdicoQrN96EsA6;24.664791;46.682488;24.664791, 46.682488
98;548;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/CFZRZtn2APeyR2HN8;24.568086;46.543988;24.568086, 46.543988
100;549;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/ecdMBWoFYr57g9Ut5;24.137655;47.277050;24.137655, 47.277050
215;550;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/nw98FBYoTXumCdcq9;21.578976;39.237442;21.578976, 39.237442
157;551;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/RBApYVoyZ224X24U8;24.487694;39.649254;24.487694, 39.649254
197;552;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/WUMb973q1XZEjpgY6;21.469505;39.189995;21.469505, 39.189995
139;553;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/aKT61jeu5bcQrGiB8;25.190805;44.601333;25.190805, 44.601333
208;554;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/h1fq8vd8wkXGQKJfA;22.798278;39.032361;22.798278, 39.032361
166;556;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/Jvcd3Cowghi8yGgk9;24.084599;38.097630;24.084599, 38.097630
133;557;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/Do1P58bifbJMGvRJ8;27.899249;42.393814;27.899249, 42.393814
158;558;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/VfePE7DZqts5L1pY9;24.447535;39.678626;24.447535, 39.678626
61;559;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/m6QQp8uXFirQ7wTcA;24.783813;46.661227;24.783813, 46.661227
223;560;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/bnv69fmwibteD8RE8;21.604602;39.212547;21.604602, 39.212547
140;561;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/2Sc29kUoKS3EKKM19;24.532530;44.429722;24.532530, 44.429722
198;562;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/P93d5uDEPj2B9NrW6;21.406073;39.265816;21.406073, 39.265816
62;563;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/di86ikbhKJw3f1V99;24.758265;46.662766;24.758265, 46.662766
322;564;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/63dY2TRgaU3QTyaW6;21.423840;39.782673;21.423840, 39.782673
63;565;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/GMY7uh9pLR71vp6CA;24.734728;46.663410;24.734728, 46.663410
112;566;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/qa5uCxjmiEeyxYzr7;24.793600;46.868198;24.793600, 46.868198
186;567;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/wTHChSvHUNGY9GnX6;29.285217;34.949238;29.285217, 34.949238
222;568;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/7UE2438Eby6wtrVm8;21.762601;39.114479;21.762601, 39.114479
334;569;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/d8TR9UoxmdzCLkJ8A;24.743711;46.679339;24.743711, 46.679339
326;570;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/7fBhMDwb6hgQwrgr6;28.429449;36.572915;28.429449, 36.572915
348;571;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/Bz9GpiCF47bWFsuD8;26.387583;50.074734;26.387583, 50.074734
52;572;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/CyTykUZ8kkRgBKJq6;26.704149;50.059254;26.704149, 50.059254
99;573;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/KPDDB9Jf66ckko6Y6;24.568181;46.772639;24.568181, 46.772639
53;574;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/dRppizfp3iAVnUL7A;26.442766;50.067631;26.442766, 50.067631
324;575;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/tH2YeH1RXYpRmLug9;24.584522;46.626766;24.584522, 46.626766
176;576;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/gXsCCrwtAQhgD9A76;24.488821;39.674908;24.488821, 39.674908
177;577;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/JBSNXcWCJWFfe8nJ9;24.867922;40.496574;24.867922, 40.496574
122;578;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/LcYAzyJphu3KwS4w8;21.338556;40.452980;21.338556, 40.452980
329;579;OudElite - نخبة العود;8001220066;www.oudelite.com;"09:00AM - 12:00PM
04:00PM - 11:00PM";https://goo.gl/maps/T4ecanrykUH133Ld7;20.150444;40.278556;20.150444, 40.278556
